model,fault,level,decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,anomaly_mean_mean,anomaly_mean_std
D_mlp,saturate,4.0,0.279746835443038,0.03158459315228576,0.3930379746835443,0.4814970911711524,0.019620253164556962,0.020029420757527415,0.5873417721518988,0.4785762329069559,0.0,0.0,0.16826774908774686,0.12236642191248899
D_mlp,saturate,7.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010792773796891914,0.0011639445504525732
D_mlp,rawnoise,0.5,0.49525316455696194,0.12252190305446797,0.0,0.0,0.9977848101265824,0.004430379746835422,0.0022151898734177216,0.004430379746835443,0.6930379746835442,0.33726517286466373,0.2850025499764071,0.03401474288493827
D_mlp,rawnoise,1.0,0.37373417721518987,0.09782090399363375,0.0,0.0,0.970253164556962,0.05714983104604572,0.029746835443037974,0.05714983104604573,0.799367088607595,0.32952505965634205,0.4086050817735945,0.026272420560716953
D_mlp,rawnoise,2.0,0.31139240506329113,0.050174946301319835,0.0,0.0,0.9212025316455696,0.1505757257689127,0.07879746835443038,0.1505757257689127,0.8335443037974682,0.29785592849893794,0.8059665439199127,0.011694928497423753
E_gbm,clean,0.0,0.9346518987341772,0.05391043611933139,0.009177215189873418,0.018354430379746836,0.9905063291139241,0.01898734177215191,0.00031645569620253165,0.0006329113924050633,0.0,0.0,0.2453915933968939,0.03474892131877152
E_gbm,stuck,1.0,0.9093354430379745,0.04483910330355074,0.006962025316455696,0.013924050632911392,0.9914556962025316,0.017088607594936713,0.0015822784810126584,0.0031645569620253164,0.0,0.0,0.2460341100795735,0.03502541206325732
E_gbm,stuck,4.0,0.8131329113924052,0.03408111782986655,0.0015822784810126584,0.0024512552824097573,0.9879746835443038,0.0224794944749089,0.010443037974683544,0.02010427870160581,0.0,0.0,0.24652058830061346,0.03478099327936663
E_gbm,stuck,7.0,0.8425632911392406,0.027135037991737023,0.003481012658227848,0.006962025316455696,0.9901898734177216,0.019620253164556976,0.006329113924050634,0.012658227848101266,0.0,0.0,0.24777067238336406,0.03511332271583498
E_gbm,zero,1.0,0.609493670886076,0.10606766946024039,0.007278481012658228,0.014556962025316455,0.9914556962025316,0.017088607594936713,0.0012658227848101266,0.002531645569620253,0.7746835443037974,0.28229125247829606,0.4668619273388782,0.26989732768711244
E_gbm,zero,4.0,0.2982594936708861,0.09651898734177215,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.717048143346245,0.23614822837965785
E_gbm,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
E_gbm,saturate,1.0,0.6539556962025317,0.09732311840823049,0.0,0.0,0.8914556962025315,0.19642596506073237,0.10854430379746835,0.19642596506073237,0.0,0.0,0.19810107120205855,0.09999620783195325
E_gbm,saturate,4.0,0.4939873417721519,0.009735835482857705,0.0,0.0,0.8300632911392405,0.21620108646835645,0.16993670886075946,0.21620108646835645,0.0,0.0,0.16826774908774686,0.12236642191248899
E_gbm,saturate,7.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010792773796891914,0.0011639445504525732
E_gbm,rawnoise,0.5,0.7310126582278481,0.037845905063074656,0.0006329113924050633,0.0012658227848101266,0.9958860759493671,0.007461915267437714,0.0034810126582278484,0.006201239855147286,0.025949367088607594,0.015163479178115113,0.2850025499764071,0.03401474288493827
E_gbm,rawnoise,1.0,0.3892405063291139,0.009493670886075944,0.0,0.0,0.9987341772151899,0.0018452379414067505,0.0012658227848101266,0.0018452379414067408,0.9620253164556962,0.014843087847542482,0.4086050817735945,0.026272420560716953
E_gbm,rawnoise,2.0,0.3208860759493671,0.005674183885139585,0.0,0.0,0.999367088607595,0.0012658227848101333,0.0006329113924050633,0.0012658227848101266,0.9949367088607595,0.004292613913370406,0.8059665439199127,0.011694928497423753
RF,clean,0.0,0.9501582278481011,0.048473017981140475,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2453915933968939,0.03474892131877152
RF,stuck,1.0,0.9197784810126584,0.05674536856051264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2460341100795735,0.03502541206325732
RF,stuck,4.0,0.8343354430379748,0.03026911554493218,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24652058830061346,0.03478099327936663
RF,stuck,7.0,0.8768987341772153,0.0326678243676931,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24777067238336406,0.03511332271583498
RF,zero,1.0,0.6610759493670886,0.0995020449337713,0.0,0.0,1.0,0.0,0.0,0.0,0.5791139240506329,0.47353447419748124,0.4668619273388782,0.26989732768711244
