held_out,model,reject_quantile,reject_policy,reject_rate_heldout,reject_rate_clean,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean
Smoke,KNN,20,alarm,0.0370651486401012,0.14936708860759493,0.005819101834282099,0.0015180265654648958,0.9647058823529411,0.006005858302577713,0.02947501581277672
Smoke,KNN,30,monitor,0.0370651486401012,0.14936708860759493,0.04288425047438331,0.008241111941759562,0.9276407337128401,0.004760249898096601,0.02947501581277672
Smoke,KNN,30,alarm,0.0370651486401012,0.14936708860759493,0.005819101834282099,0.0015180265654648958,0.9647058823529411,0.006005858302577713,0.02947501581277672
Mixture,A_cost_weighted,0,monitor,0.0,0.0,0.0,0.0,0.37495256166982927,0.2073005792367563,0.6250474383301708
Mixture,A_cost_weighted,0,alarm,0.0,0.0,0.0,0.0,0.37495256166982927,0.2073005792367563,0.6250474383301708
Mixture,A_cost_weighted,5,monitor,0.22884250474383303,0.08670886075949366,0.22884250474383303,0.11100408878503917,0.2742567994939912,0.2122349774924102,0.4969006957621758
Mixture,A_cost_weighted,5,alarm,0.22884250474383303,0.08670886075949366,0.0,0.0,0.5030993042378242,0.1995764772794172,0.4969006957621758
Mixture,A_cost_weighted,10,monitor,0.39266287160025304,0.16962025316455695,0.39266287160025304,0.1148396265988158,0.20442757748260593,0.19147997885066725,0.4029095509171411
Mixture,A_cost_weighted,10,alarm,0.39266287160025304,0.16962025316455695,0.0,0.0,0.5970904490828589,0.203937498494951,0.4029095509171411
Mixture,A_cost_weighted,20,monitor,0.7125869702719798,0.3360759493670886,0.7125869702719798,0.1057346640239016,0.09728020240354207,0.14321950243114218,0.1901328273244782
Mixture,A_cost_weighted,20,alarm,0.7125869702719798,0.3360759493670886,0.0,0.0,0.8098671726755219,0.1321300938027082,0.1901328273244782
Mixture,A_cost_weighted,30,monitor,0.8613535736875395,0.5291139240506328,0.8613535736875395,0.08855010390073062,0.06426312460468057,0.10771245659863403,0.07438330170777989
Mixture,A_cost_weighted,30,alarm,0.8613535736875395,0.5291139240506328,0.0,0.0,0.92561669829222,0.0691500952478313,0.07438330170777989
Mixture,B_unweighted,0,monitor,0.0,0.0,0.0001265022137887413,0.0002530044275774826,0.27666034155597724,0.1796966507190123,0.7232131562302341
Mixture,B_unweighted,0,alarm,0.0,0.0,0.0001265022137887413,0.0002530044275774826,0.27666034155597724,0.1796966507190123,0.7232131562302341
Mixture,B_unweighted,5,monitor,0.22985452245414292,0.09430379746835442,0.22985452245414292,0.09416864220081621,0.1666034155597723,0.13264202007585682,0.6035420619860847
Mixture,B_unweighted,5,alarm,0.22985452245414292,0.09430379746835442,0.0,0.0,0.39645793801391527,0.19524886233718147,0.6035420619860847
Mixture,B_unweighted,10,monitor,0.42745098039215684,0.16645569620253164,0.42745098039215684,0.16220741121937396,0.07893738140417457,0.0759028041180573,0.4936116382036685
Mixture,B_unweighted,10,alarm,0.42745098039215684,0.16645569620253164,0.0,0.0,0.5063883617963315,0.18581259058951058,0.4936116382036685
Mixture,B_unweighted,20,monitor,0.6846299810246679,0.28670886075949364,0.6846299810246679,0.1567028014837627,0.010120177103099304,0.018054839838769703,0.30524984187223275
Mixture,B_unweighted,20,alarm,0.6846299810246679,0.28670886075949364,0.0,0.0,0.6947501581277673,0.15377830974541584,0.30524984187223275
Mixture,B_unweighted,30,monitor,0.7795066413662239,0.3556962025316456,0.7795066413662239,0.12444796329832776,0.0010120177103099305,0.002024035420619861,0.21948134092346616
Mixture,B_unweighted,30,alarm,0.7795066413662239,0.3556962025316456,0.0,0.0,0.7805186590765338,0.12454976523578823,0.21948134092346616
Mixture,D_mlp,0,monitor,0.0,0.0,0.0058191018342821,0.006817049252527504,0.25211891208096143,0.1507652725842344,0.7420619860847564
