decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,mean_severity_danger_mean,mean_severity_danger_std,miss_k_pooled,n_danger_pooled,fa_k_pooled,n_clean_pooled,esc_k_pooled,under_esc_k_pooled,miss_upper95_pooled,fa_upper95_pooled,model,perturbation,level
0.39746835443037976,0.11705465852343569,0.0,0.0,1.0,0.0,0.0,0.0,0.7930379746835443,0.4435778807879255,3.655696202531645,0.22229914608676593,0,3160,1253,1580,3160,0,0.0009475673165507681,0.8097061094545804,A_cost_weighted,dropout,6.0
0.34984177215189877,0.11253715849149351,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.1996835443037974,0.22507431698298705,0,3160,1580,1580,3160,0,0.0009475673165507681,1.0,A_cost_weighted,dropout,7.0
0.9645569620253165,0.0251515097311499,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,B_unweighted,clean,0.0
0.955379746835443,0.024877524059536152,0.0,0.0,1.0,0.0,0.0,0.0,0.0006329113924050633,0.0014152328971517656,3.5,0.0,0,3160,1,1580,3160,0,0.0009475673165507681,0.002998891043992928,B_unweighted,noise,0.1
0.9384493670886076,0.02405765845088421,0.0,0.0,1.0,0.0,0.0,0.0,0.004430379746835443,0.006933196930445142,3.5,0.0,0,3160,7,1580,3160,0,0.0009475673165507681,0.008305405475127363,B_unweighted,noise,0.2
0.9131329113924049,0.027487961852188575,0.0,0.0,1.0,0.0,0.0,0.0,0.028481012658227844,0.021579401419281417,3.5,0.0,0,3160,45,1580,3160,0,0.0009475673165507681,0.036368452182614974,B_unweighted,noise,0.3
0.8787974683544304,0.025466820077343483,0.0,0.0,0.9996835443037975,0.0007076164485758866,0.00031645569620253165,0.0007076164485758828,0.07025316455696203,0.024451194648204885,3.4990506329113926,0.0021228493457275603,0,3160,111,1580,3159,1,0.0009475673165507681,0.0817513267687982,B_unweighted,noise,0.4
0.8462025316455698,0.023552841023987612,0.0006329113924050633,0.0008666496163056425,0.9987341772151899,0.0013238291559083545,0.0006329113924050633,0.0008666496163056425,0.12025316455696203,0.02703798653581497,3.496518987341772,0.003608150079427603,2,3160,190,1580,3156,2,0.001990985964690498,0.13455519839507663,B_unweighted,noise,0.5
0.9606012658227847,0.025607748627657193,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,B_unweighted,drift,0.1
0.9474683544303797,0.034632566423905574,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,B_unweighted,drift,0.2
