decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,mean_severity_danger_mean,mean_severity_danger_std,miss_k_pooled,n_danger_pooled,fa_k_pooled,n_clean_pooled,esc_k_pooled,under_esc_k_pooled,miss_upper95_pooled,fa_upper95_pooled,protocol,model
0.9625,0.02154020965799167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_embargo,A_cost_weighted
0.9621835443037975,0.012944256542556345,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_embargo,D_mlp
0.9382911392405063,0.06108957757705897,0.0066455696202531635,0.014859945420093536,0.9933544303797468,0.01485994542009352,0.0,0.0,0.0,0.0,3.483227848101266,0.03750367177452169,21,3160,0,1580,3139,0,0.009555760659786146,0.001894236749282019,blocked_embargo,E_gbm
0.9525316455696202,0.05115252071737096,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_embargo,RF
0.9520569620253166,0.029541397726218888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_embargo,KNN
0.9297468354430378,0.02951384143489612,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5003164556962028,0.0007076164485757873,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_embargo,ThresholdRule
0.9462145110410095,0.015498400560911507,0.0,0.0,1.0,0.0,0.0,0.0,0.006940063091482649,0.015518452840692545,3.5,0.0,0,3170,11,1585,3170,0,0.0009445795574056781,0.011461270625843819,leave_one_block,A_cost_weighted
0.9723974763406942,0.0064069703506592895,0.0012618296529968453,0.0017278314116882213,0.9974763406940064,0.0017983839512604588,0.0012618296529968453,0.00131965303869728,0.0,0.0,3.4933753943217667,0.005509226875890496,4,3170,0,1585,3162,4,0.0028851988971961623,0.001888266884271017,leave_one_block,D_mlp
0.5597791798107256,0.0003526921100157375,0.3025236593059937,0.03198433275870428,0.4968454258675079,0.0,0.20063091482649842,0.0319843327587043,0.0,0.0,2.18801261829653,0.03198433275870429,959,3170,0,1585,1575,636,0.316232499004661,0.001888266884271017,leave_one_block,E_gbm
0.5408517350157729,0.010833447836905333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.991482649842271,0.00930465691088488,0,3170,0,1585,3170,0,0.0009445795574056781,0.001888266884271017,leave_one_block,RF
0.9566246056782335,0.0,0.0015772870662460567,0.0,0.9889589905362776,0.0,0.00946372239747634,0.0,0.0,0.0,3.481072555205047,4.965068306494546e-16,5,3170,0,1585,3135,30,0.003313531634940603,0.001888266884271017,leave_one_block,KNN
0.6348580441640379,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,3170,0,1585,3170,0,0.0009445795574056781,0.001888266884271017,leave_one_block,ThresholdRule
